순위,곡명,가수,앨범
132,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 'Tear'
133,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11 (tvN 토일 드라마)
134,You can't sit with us,선미,6분의1
135,바람남,김호중,내일은 미스터트롯 결승전 베스트
136,때,김호중,사랑의 콜센타 Part 6
137,너나 나나,김호중,너나 나나
138,백화 (白花) (Narration. 손숙),김호중,우리家
139,Way Back Home,숀 (SHAUN),Take
140,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
141,비가 온다,김호중,식구
142,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
143,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
144,팔레트 (Feat. G-DRAGON),아이유 (IU),Palette
145,너에게,유연석,슬기로운 의사생활 시즌2 OST Part 7 (tvN 목요드라마)
146,어떻게 지내 (Prod. by VAN.C),오반 (OVAN),어떻게 지내
147,주저하는 연인들을 위해,잔나비,전설
148,Knock On Wood,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
149,교환일기 (두밧두 와리와리),투모로우바이투게더,혼돈의 장 : FIGHT OR ESCAPE
150,그냥 안아달란 말야,다비치,그냥 안아달란 말야
151,Black Mamba,aespa,Black Mamba
152,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비)
153,불타오르네 (FIRE),방탄소년단,화양연화 Young Forever
154,Ashes,Stellar,Ashes
155,구원 (Prod. by Kidstone),UNEDUCATED KID & 호미들 &  LIL GIMCHI,구원
156,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
157,마.피.아. In the morning,ITZY (있지),GUESS WHO
158,Bad,Christopher,Under the Surface
159,On The Ground,로제 (ROSE),R
160,Don't Start Now,Dua Lipa,Future Nostalgia
161,너를 만나,폴킴,너를 만나
162,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
163,바다가 들린다 (Prod. by 니브 (NIve)),양다일,Ocean Waves with KozyPop
164,안녕,폴킴,호텔 델루나 OST Part.10 (tvN 토일드라마)
165,Leave Before You Love Me,Marshmello & Jonas Brothers,Leave Before You Love Me
166,How You Like That,BLACKPINK,How You Like That
167,너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. by 조영수)
168,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2 (tvN 목요드라마)
169,여름 쏙 (Popping),온앤오프 (ONF),SUMMER POPUP ALBUM (POPPING)
170,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
171,밤하늘의 저 별처럼,헤이즈 (Heize) & 펀치 (Punch),밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙) (SBS 월화드라마)
172,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
173,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
