카테고리,채널명,구독자수,조회수,영상수
스포츠/운동,말왕TV,"960,000","331,380,000",880
미분류,논리왕 전기,"960,000","97,770,000",81
해외,TNT,"960,000","598,590,000","4,339"
키즈/어린이,마시따 MASITTA,"950,000","559,120,000",216
음악/댄스/가수,일반인들의 소름돋는 라이브 / Best covers,"950,000","376,180,000","3,695"
키즈/어린이,퍼플 토이박스(Purple Toy Box),"950,000","584,760,000","1,343"
게임,액션홍구,"950,000","529,540,000","2,909"
음악/댄스/가수,장범준,"940,000","352,980,000",504
뉴스/정치/사회,SBS Radio 에라오,"940,000","500,160,000","15,908"
TV/방송,키에커,"940,000","263,390,000",153
음악/댄스/가수,KIM HYUN JOONG.official,"940,000","116,580,000",318
TV/방송,유병재,"940,000","116,700,000",129
BJ/인물/연예인,남순 NS,"930,000","911,430,000","3,525"
게임,잉여맨 유튜브,"930,000","816,230,000","2,065"
게임,마재TV,"930,000","652,260,000","3,810"
뉴스/정치/사회,뉴스TVCHOSUN,"920,000","685,430,000","64,022"
BJ/인물/연예인,(MUTUBE)와꾸대장봉준,"920,000","803,360,000","7,658"
음식/요리/레시피,삼대장 Samdaejang,"920,000","490,490,000","1,059"
BJ/인물/연예인,U.M.A.우마,"920,000","217,240,000",139
음식/요리/레시피,가르마[GARMA],"910,000","259,670,000","1,114"
TV/방송,YG TREASURE BOX,"910,000","251,340,000",496
미분류,연스커플 Yeon's Couple,"910,000","152,630,000",226
BJ/인물/연예인,띠미 ddimmi,"910,000","343,410,000",706
키즈/어린이,Boram Tube Friends,"910,000","7,310,000",73
게임,유키 YOUKI,"910,000","207,870,000",891
게임,괴물쥐 유튜브,"910,000","609,820,000",852
TV/방송,배꼽빌라,"910,000","278,760,000",380
패션/미용,디렉터 파이,"910,000","123,430,000",261
음악/댄스/가수,ALiEN,"900,000","179,790,000",259
미분류,Louis Vuitton,"900,000","390,480,000",280
BJ/인물/연예인,슛뚜sueddu,"900,000","42,930,000",176
게임,테드TV,"900,000","795,070,000","2,180"
패션/미용,Saerom Min개코의 오픈스튜디오,"890,000","100,240,000",147
패션/미용,윤쨔미 YoonCharmi,"890,000","233,190,000",321
음악/댄스/가수,MUPLY 뮤플리,"890,000","218,870,000",419
영화/만화/애니,LICO TV,"890,000","127,430,000",186
키즈/어린이,토깽이네,"890,000","876,310,000","1,366"
미분류,김소형 채널H,"890,000","155,600,000",749
영화/만화/애니,WatchcarTV,"890,000","415,480,000",201
게임,군림보,"890,000","598,330,000","4,780"
미분류,핏블리 FITVELY,"890,000","205,990,000",568
뉴스/정치/사회,배승희 변호사,"880,000","408,590,000","1,225"
TV/방송,김이브님 [kim eve],"880,000","630,530,000","2,836"
미분류,공부왕찐천재 홍진경,"880,000","80,350,000",78
애완/반려동물,Girls Planet,"880,000","288,600,000",379
음악/댄스/가수,MUSIC&NEW 뮤직앤뉴,"880,000","935,100,000","6,809"
미분류,김작가 TV,"880,000","164,400,000","1,276"
미분류,밀라논나 Milanonna,"880,000","54,310,000",80
회사/오피셜,SM C&C STUDIO,"880,000","103,620,000",515
음악/댄스/가수,SF9,"880,000","64,240,000",268
뉴스/정치/사회,신인균의 국방TV,"880,000","407,410,000","1,558"
미분류,사피엔스 스튜디오,"870,000","243,570,000","2,689"
국내/해외/여행,Sophie Kim _하은,"870,000","28,000,000",117
키즈/어린이,POYO Music Official,"870,000","664,510,000","1,449"
미분류,미션 파서블,"860,000","100,730,000",94
게임,머독방송,"860,000","777,880,000","11,381"
미분류,1분미만,"860,000","184,500,000",119
키즈/어린이,액션 Action,"860,000","417,920,000","1,588"
키즈/어린이,뚜아뚜지TV,"860,000","360,770,000","1,218"
TV/방송,옛능 : MBC 옛날 예능 다시보기,"860,000","1,060,790,000","2,082"
음악/댄스/가수,missA,"860,000","361,580,000",49
키즈/어린이,Toystar TV,"860,000","349,680,000",72
뉴스/정치/사회,MBN News,"860,000","876,070,000","95,707"
취미/라이프,달려라치킨 Dalchi,"850,000","214,050,000",591
게임,연다,"850,000","518,650,000","1,806"
해외,Variety,"850,000","411,640,000","4,059"
음악/댄스/가수,TSENT2008,"840,000","381,110,000",445
음식/요리/레시피,고기남자 MeatMan,"840,000","104,130,000",69
음악/댄스/가수,HOLLAND,"840,000","29,470,000",28
게임,울산큰고래 박성주,"840,000","624,460,000","3,105"
음악/댄스/가수,ALL THE K-JAM 올더케이잼,"840,000","861,050,000","13,567"
영화/만화/애니,Hello Jadoo TV 안녕 자두야,"840,000","315,360,000",468
뉴스/정치/사회,딴지방송국,"840,000","190,760,000",643
애완/반려동물,냥이아빠,"830,000","283,100,000",448
TV/방송,라이프타임,"830,000","305,680,000","1,530"
TV/방송,z a m,"830,000","571,990,000","1,777"
국내/해외/여행,빠니보틀 Pani Bottle,"830,000","161,940,000",215
영화/만화/애니,리뷰엉이: Owl's Review,"830,000","299,690,000",450
음식/요리/레시피,뽐뽐뽐,"830,000","64,190,000",178
미분류,임한올 Hanol Rim,"830,000","89,290,000",140
교육/강의,라이브 아카데미,"830,000","74,500,000",462
패션/미용,Jella젤라,"830,000","56,000,000",185
BJ/인물/연예인,강유미 yumi kang좋아서 하는 채널,"820,000","187,900,000",312
음악/댄스/가수,H1GHR MUSIC,"820,000","208,710,000",466
영화/만화/애니,빨강도깨비,"820,000","326,240,000",330
IT/기술/컴퓨터,의학채널 비온뒤,"820,000","180,770,000","4,318"
게임,돼지저금통,"820,000","1,375,050,000","5,492"
IT/기술/컴퓨터,1분과학,"820,000","76,020,000",60
키즈/어린이,고고다이노-GOGO DINO,"820,000","603,470,000",804
음식/요리/레시피,서담SEODAM,"820,000","146,630,000",230
TV/방송,Mdromeda KPOP,"820,000","241,110,000",455
BJ/인물/연예인,쿠쿠크루 - Cuckoo Crew,"820,000","450,020,000",617
취미/라이프,Mimine Miniature 미미네 미니어처,"820,000","158,200,000",162
게임,개리형,"810,000","311,810,000",547
음악/댄스/가수,CL,"810,000","56,930,000",5
해외,ZeeKay Junior,"810,000","814,550,000",844
TV/방송,이환,"810,000","259,120,000",334
TV/방송,Megan Moon,"810,000","128,440,000",517
패션/미용,UNA 유나,"810,000","64,300,000",149
음악/댄스/가수,Jenny Yun,"810,000","114,910,000",555
TV/방송,fantagio 판타지오,"810,000","177,180,000",213
영화/만화/애니,신비아파트 공식채널 - Shinbi House,"810,000","448,360,000","1,075"
음악/댄스/가수,PARK JIHOON Official,"810,000","42,380,000",176
패션/미용,areumsongee아름송이,"800,000","66,350,000",179
미분류,TOP MEDIA,"800,000","160,070,000",498
TV/방송,준우,"800,000","186,850,000",160
BJ/인물/연예인,SUNBA선바,"800,000","951,940,000","2,219"
게임,Partition Zion,"790,000","343,610,000",923
음악/댄스/가수,OFFICIAL EPIK HIGH,"790,000","228,010,000",208
키즈/어린이,리틀조이 LittleJoy,"790,000","221,790,000",195
TV/방송,리모콘 by iHQ,"790,000","688,370,000","5,115"
미분류,하하 PD HAHA PD,"790,000","39,430,000",72
미분류,Rolling Stone,"790,000","253,410,000","2,888"
미분류,Jin & Juice,"790,000","130,990,000",171
영화/만화/애니,9bul,"790,000","227,890,000",201
음식/요리/레시피,THE BOB - 더 밥 스튜디오,"780,000","55,660,000",538
패션/미용,한별Hanbyul,"780,000","124,330,000",272
TV/방송,찬우살이,"780,000","27,830,000",142
음악/댄스/가수,• m i n a m o c h i •,"780,000","339,840,000",118
BJ/인물/연예인,StimBoy스팀보이,"780,000","364,720,000",649
미분류,엄마의손맛,"780,000","156,970,000",553
뉴스/정치/사회,조선일보,"780,000","422,650,000","12,904"
영화/만화/애니,람다람,"780,000","85,120,000",61
TV/방송,옐언니,"780,000","190,290,000",335
주식/경제/부동산,E트렌드,"780,000","72,810,000","1,399"
TV/방송,STUDIO DIA 스튜디오 다이아,"780,000","201,480,000",506
음악/댄스/가수,HyunA 현아 (Official YouTube Channel),"770,000","99,050,000",10
키즈/어린이,메카드 - MECARD OFFICIAL,"770,000","607,190,000","1,176"
미분류,이리오너라,"770,000","48,840,000","1,560"
미분류,토모토모TomoTomo,"770,000","116,050,000",114
게임,Dorami,"770,000","190,210,000","1,060"
게임,T1,"770,000","211,830,000","2,553"
TV/방송,TongTongTv 통통컬처,"770,000","536,900,000","11,224"
음악/댄스/가수,BRANDNEW MUSIC,"770,000","262,990,000","1,243"
TV/방송,이라이라경 ravely,"770,000","208,210,000",329
애완/반려동물,속삭이는몽자,"770,000","186,710,000",451
음악/댄스/가수,wondergirls,"770,000","406,380,000",217
게임,김왼팔,"770,000","473,580,000","2,115"
미분류,뽀송한 준_bosungjun,"770,000","50,770,000",89
미분류,양장금주부,"770,000","156,130,000",546
미분류,지켜츄 Chuu Can Do It,"770,000","43,220,000",61
BJ/인물/연예인,케이,"760,000","501,750,000","3,127"
뉴스/정치/사회,엠빅뉴스,"760,000","1,585,130,000","3,711"
취미/라이프,공대생가족 GDSF,"760,000","312,450,000","1,227"
키즈/어린이,주니토니 동요동화 - 키즈캐슬,"760,000","697,040,000",579
TV/방송,히스토리,"760,000","480,840,000","1,798"
미분류,SISSEL,"760,000","36,310,000",211
애완/반려동물,다흑,"760,000","480,790,000","2,352"
TV/방송,POWER MOVIE,"760,000","225,190,000",217
게임,탁주 TV,"760,000","1,539,340,000","1,999"
키즈/어린이,ToyCheff,"760,000","355,320,000",449
키즈/어린이,Robot Trains official,"750,000","557,160,000",744
TV/방송,Zaty Farhani,"750,000","813,450,000","1,665"
게임,GCL 지씨엘,"750,000","195,770,000",303
미분류,랄로,"750,000","237,100,000",349
TV/방송,KBS N,"750,000","1,234,730,000","13,444"
뉴스/정치/사회,빽능 - 스브스 옛날 예능,"740,000","841,050,000","3,304"
교육/강의,법륜스님의 희망세상만들기,"740,000","367,850,000",728
회사/오피셜,KB국민카드,"740,000","219,800,000",523
미분류,ROKSEAL,"740,000","72,720,000",81
TV/방송,스튜디오 룰루랄라- studio lululala,"740,000","195,920,000",904
BJ/인물/연예인,bobaepapa - 보배아빠,"740,000","333,940,000",335
TV/방송,Travel Tube,"740,000","761,770,000","1,373"
TV/방송,타임스낵,"740,000","189,600,000",197
패션/미용,Yoo's Beauty 희주,"740,000","22,740,000",105
패션/미용,리아루아 LIALUA,"740,000","205,980,000",314
TV/방송,LDF TV by lottedutyfree,"730,000","563,060,000","1,251"
TV/방송,핫소스,"730,000","467,070,000",466
패션/미용,yeondukong 연두콩,"730,000","97,030,000",369
미분류,Golden Disc Awards,"730,000","190,120,000",501
음악/댄스/가수,HYOLYN 효린,"730,000","135,690,000",113
미분류,천뚱TV,"730,000","68,410,000",34
미분류,CU [씨유튜브],"730,000","18,690,000",212
패션/미용,sunnydahye,"730,000","50,750,000",334
애완/반려동물,시바견 곰이탱이여우,"730,000","358,400,000","1,195"
TV/방송,Kyunghamin твоя корейская онни,"730,000","63,590,000",330
영화/만화/애니,UTZI웃지,"730,000","399,310,000",242
교육/강의,닥터프렌즈,"730,000","136,720,000",502
뉴스/정치/사회,전옥현 안보정론TV,"720,000","340,870,000","4,304"
게임,러너꽃빈TV,"720,000","589,850,000","3,159"
음악/댄스/가수,DKDKTV,"720,000","154,280,000","1,101"
BJ/인물/연예인,송대익 songdaeik,"720,000","376,010,000",447
뉴스/정치/사회,KBS 교양,"720,000","562,110,000","66,674"
음식/요리/레시피,띠예,"720,000","82,530,000",39
음악/댄스/가수,VICTON 빅톤,"720,000","142,400,000",670
음악/댄스/가수,Healing Meditation,"720,000","72,120,000",215
음악/댄스/가수,B1A4 OFFICIAL +,"720,000","184,480,000",317
미분류,leeminho film,"720,000","10,900,000",14
취미/라이프,DanoTV,"720,000","135,750,000",572
음악/댄스/가수,Official fromis_9,"720,000","214,850,000",495
미분류,랭킹스쿨 Ranking School,"720,000","372,450,000",654
음악/댄스/가수,Yuni Marimba 유니 마림바,"720,000","92,560,000",105
음악/댄스/가수,MBC WORLD,"720,000","543,560,000","4,756"
BJ/인물/연예인,대륙남TV [clark tv],"710,000","394,910,000","3,035"
미분류,이재성 박사의 식탁보감,"710,000","55,420,000",230
게임,스페셜솔져 - 모바일FPS,"710,000","15,040,000",137
키즈/어린이,지호토이TV JIHOTOY,"710,000","562,860,000","1,847"
음식/요리/레시피,윰댕(yum-cast),"710,000","516,760,000","3,235"
음악/댄스/가수,HEADLINER,"710,000","168,790,000",186
BJ/인물/연예인,외질혜 (OzilTube),"710,000","434,050,000","1,587"
패션/미용,헤이즐 Heizle,"710,000","74,700,000",291
음악/댄스/가수,SonyToby,"710,000","71,910,000",94
뉴스/정치/사회,연합뉴스TV,"710,000","931,720,000","364,460"
TV/방송,나혼자산다 STUDIO,"700,000","224,590,000",290
TV/방송,뉴스엔·NewsenTV·KOREA Entertainment news,"700,000","242,940,000","8,476"
미분류,육식맨 YOOXICMAN,"700,000","112,560,000",101
뉴스/정치/사회,채널A 뉴스TOP10,"700,000","571,890,000","16,158"
교육/강의,THE J,"700,000","124,240,000",541
뉴스/정치/사회,가로세로연구소,"700,000","460,440,000","2,950"
영화/만화/애니,Sechi,"700,000","226,650,000",271
키즈/어린이,ToyMoon토이문,"700,000","262,200,000",251
취미/라이프,Soy ASMR,"700,000","142,010,000",437
TV/방송,김달,"700,000","229,850,000",730
미분류,함께해요 맛나요리,"700,000","161,340,000",432
음악/댄스/가수,임창정,"690,000","198,600,000",294
게임,Charming Jo 조매력,"690,000","189,400,000","1,153"
BJ/인물/연예인,긱블 Geekble,"690,000","177,860,000",304
영화/만화/애니,DAZBEE official,"690,000","240,560,000",121
국내/해외/여행,EBS 컬렉션 - 라이프스타일,"690,000","414,600,000","2,923"
음식/요리/레시피,인아짱 Inah Eats,"690,000","146,320,000","1,000"
음악/댄스/가수,LJ Dance,"690,000","93,380,000","1,767"
TV/방송,smile -wA-,"690,000","518,930,000","5,323"
키즈/어린이,코코몽 COCOMONG TV - Cartoon & Song For Kids,"690,000","850,470,000","1,188"
음악/댄스/가수,TEEN TOP Official,"690,000","196,700,000",776
TV/방송,시미켄 TV,"690,000","97,430,000",91
미분류,뀨러기 [kkyuleogi],"690,000","178,300,000",241
미분류,랄랄ralral,"690,000","122,510,000",332
음악/댄스/가수,PianiCast - 피아니캐스트,"690,000","173,900,000",106
영화/만화/애니,써리의 영상툰 SSULY TOON,"680,000","467,260,000",945
미분류,웅이woongei,"680,000","146,210,000",269
미분류,SM STATION,"680,000","45,170,000",90
패션/미용,에바EVA,"680,000","101,160,000",299
음악/댄스/가수,MBK Entertainment [Official],"680,000","388,620,000",417
키즈/어린이,로보카폴리 TV,"680,000","425,450,000","1,050"
키즈/어린이,애니한TV AnnieHanTV,"680,000","648,450,000","1,152"
미분류,주부나라,"680,000","154,690,000",771
취미/라이프,ASMR Ouvir 오비르,"680,000","111,520,000",144
미분류,방가네,"680,000","154,800,000",185
뉴스/정치/사회,이봉규TV,"680,000","428,800,000","6,831"
패션/미용,김습습Double Soup,"680,000","52,970,000",276
미분류,DAWN,"680,000","46,570,000",33
미분류,이슈왕 TV,"680,000","344,380,000","1,013"
BJ/인물/연예인,난쟁이성현,"680,000","172,180,000",678
게임,문호준,"680,000","421,330,000","1,054"
뉴스/정치/사회,스브스뉴스 SUBUSU NEWS,"680,000","712,370,000","2,509"
음악/댄스/가수,Bigman,"680,000","53,500,000",46
TV/방송,SIMI TV,"680,000","80,630,000",77
게임,밍모,"680,000","430,820,000","1,425"
뉴스/정치/사회,Newstapa,"670,000","234,870,000","3,755"
미분류,과나gwana,"670,000","91,470,000",77
키즈/어린이,간니닌니 다이어리,"670,000","607,290,000","1,768"
뉴스/정치/사회,펜앤드마이크TV,"670,000","468,410,000","10,576"
미분류,직업의모든것,"670,000","234,350,000",300
게임,김성회의 G식백과,"670,000","145,300,000",219
음식/요리/레시피,권회훈,"670,000","269,410,000","1,274"
TV/방송,제이제이,"670,000","198,230,000",505
TV/방송,덕출 : DCTVGO,"670,000","174,910,000",319
취미/라이프,미니미니 MiniMini,"670,000","319,460,000",326
미분류,815머니톡,"670,000","165,210,000","2,670"
패션/미용,새벽,"670,000","93,440,000",505
뉴스/정치/사회,한국경제TV,"670,000","205,290,000","49,743"
TV/방송,레바스튜디오,"660,000","287,920,000",421
미분류,메리니즈부엌Meliniskitchen,"660,000","109,360,000",110
미분류,팩토리,"660,000","61,450,000",28
음악/댄스/가수,조싀앤바믜 Josh & Bamui,"660,000","181,120,000",194
TV/방송,김용호연예부장,"660,000","125,170,000",259
TV/방송,백만뷰,"660,000","450,050,000","9,311"
게임,강 지,"660,000","483,760,000","1,080"
미분류,스토리,"660,000","90,730,000",39
음악/댄스/가수,GIRL'S DAY,"660,000","246,680,000",150
교육/강의,입시덕후,"660,000","269,970,000",401
BJ/인물/연예인,요리왕비룡 Korean Food Cooking,"660,000","133,810,000",592
음식/요리/레시피,Team_SeikaTV(팀세이카),"660,000","133,230,000",115
패션/미용,Ha Neul오늘의 하늘,"660,000","101,800,000",284
BJ/인물/연예인,깨박이,"660,000","375,820,000","1,249"
주식/경제/부동산,부동산 읽어주는 남자,"650,000","67,080,000",471
패션/미용,Dear.Jerry제리,"650,000","41,960,000",154
패션/미용,로즈하ROSEHA,"650,000","71,450,000",177
게임,수탉,"650,000","311,500,000","1,319"
음식/요리/레시피,키미 Kimi,"650,000","45,770,000",92
패션/미용,LENA,"650,000","133,900,000",136
음식/요리/레시피,입질의추억TV jiminTV,"650,000","191,690,000",324
음식/요리/레시피,허미노MINO,"650,000","247,180,000","1,676"
TV/방송,PANGKICK 팡킥,"650,000","214,900,000",85
키즈/어린이,뿌직PPUJIG,"650,000","490,230,000",427
게임,Official Dopa,"650,000","293,470,000","1,225"
TV/방송,걍밍경,"650,000","37,320,000",35
주식/경제/부동산,코스픽(KosPick),"640,000","24,680,000","1,225"
자동차,우파푸른하늘Woopa TV,"640,000","347,120,000",965
패션/미용,금강연화,"640,000","241,370,000",622
영화/만화/애니,CK Animation School_2016-2018,"640,000","206,470,000",698
미분류,지식한입,"640,000","43,910,000",55
미분류,deemd 딤디,"640,000","62,190,000",142
미분류,송슐랭 가이드 - SONGCHELIN GUIDE,"640,000","19,010,000",112
TV/방송,tweety 트위티,"640,000","73,890,000",155
패션/미용,Q2HAN,"640,000","69,590,000",698
스포츠/운동,JK 아트사커 온라인,"640,000","225,240,000",410
영화/만화/애니,홍시네마,"640,000","204,530,000",158
BJ/인물/연예인,김도고 Doggo Kim,"640,000","159,450,000",154
음악/댄스/가수,BELLA&LUCAS 벨라앤루카스,"630,000","75,110,000",291
게임,LCK,"630,000","499,800,000","3,932"
게임,유소나,"630,000","199,950,000",713
미분류,꼰대희,"630,000","99,220,000",106
게임,퀸톨 TV,"630,000","465,100,000","2,076"
미분류,나르앤나르시Nar.Couple,"630,000","71,330,000",132
TV/방송,Spinel CAM,"630,000","678,080,000","8,579"
키즈/어린이,손오공,"630,000","647,780,000",730
패션/미용,도영도영이,"630,000","43,490,000",157
미분류,지기TV,"630,000","149,790,000",706
취미/라이프,여정을떠난여정,"620,000","137,120,000",287
미분류,단하나 DANHANA,"620,000","107,060,000",87
미분류,검은고양이 다홍 Blackcat Dahong,"620,000","36,690,000",44
음악/댄스/가수,정동원TV,"620,000","198,210,000",264
TV/방송,OCN,"620,000","574,140,000","11,771"
TV/방송,매미킴 TV,"620,000","157,720,000",251
미분류,쏘대장,"620,000","123,110,000",314
패션/미용,会社員J,"620,000","123,640,000",393
TV/방송,Rio y Christian,"620,000","54,510,000",294
미분류,지피티,"620,000","130,860,000",718
음악/댄스/가수,다이아나Diana,"620,000","171,340,000","1,776"
미분류,Bravo jamoasi,"620,000","116,660,000",85
음악/댄스/가수,lEtudel,"620,000","242,610,000","2,954"
패션/미용,소윤Soyoon,"620,000","59,950,000",155
BJ/인물/연예인,예씨 yessii,"620,000","381,180,000",786
영화/만화/애니,Netflix Korea 넷플릭스 코리아,"620,000","166,880,000","1,350"
TV/방송,MBC 미스터리 : 심야괴담회 X 서프라이즈,"620,000","263,970,000","1,144"
IT/기술/컴퓨터,테크몽 Techmong,"620,000","87,240,000",337
뉴스/정치/사회,성제준TV,"620,000","198,110,000",984
게임,코아 TV,"610,000","430,300,000","1,040"
미분류,엠뚜루마뚜루 : MBC 공식 종합 채널,"610,000","722,960,000","1,224"
미분류,캡틴 파추호 Captain PaChuHO,"610,000","36,050,000",51
IT/기술/컴퓨터,UNDERkg,"610,000","318,400,000","2,292"
음식/요리/레시피,한식푸우 Korean food,"610,000","244,500,000","1,581"
TV/방송,샒의 삶Serim's life,"610,000","186,590,000",522
게임,삼식,"610,000","221,560,000","1,907"
음식/요리/레시피,맛상무,"610,000","231,510,000","1,269"
BJ/인물/연예인,상해기SangHyuk,"610,000","134,080,000",315
키즈/어린이,지니어드벤쳐 GeniAdventure (공룡∙과학 Dinosaurs),"610,000","593,260,000",427
미분류,짧은대본 ShortPaper,"610,000","131,410,000",132
게임,저라뎃 JUSTLIKETHAT,"610,000","564,230,000","2,898"
TV/방송,씨그널V [ Signal V ],"610,000","289,470,000",731
음식/요리/레시피,sini시니,"610,000","230,960,000",676
미분류,하알라,"610,000","145,090,000",192
TV/방송,tvN 인사이트,"610,000","208,700,000","1,739"
자동차,김한용의 MOCAR,"610,000","276,470,000","1,170"
미분류,[윤이련]50년 요리비결,"610,000","147,950,000",310
미분류,STAYC,"610,000","130,080,000",102
키즈/어린이,뽀로로 타요 장난감 놀이교실,"610,000","389,370,000",807
패션/미용,골근위수영뷰티아카데미,"600,000","428,970,000",358
패션/미용,슈스스TV,"600,000","10,000",1
미분류,할명수,"600,000","44,900,000",64
뉴스/정치/사회,MTN 머니투데이방송,"600,000","516,710,000","56,402"
게임,눈쟁이,"600,000","243,060,000","2,170"
취미,여락이들_,"600,000","141,820,000",333
미분류,유 퀴즈 온 더 튜브,"600,000","239,980,000","2,545"
스포츠/운동,강하나 스트레칭_stretching,"600,000","54,610,000",297
TV/방송,코니tv conitv,"600,000","96,870,000",436
음악/댄스/가수,노래하는코트,"600,000","319,520,000","2,297"
미분류,과학드림 [Science Dream],"600,000","97,630,000",103
미분류,로하Roha,"600,000","78,980,000",108
음식/요리/레시피,바다곰조해웅Seabear,"600,000","127,130,000",391
음악/댄스/가수,FTISLAND (FT아일랜드),"600,000","140,220,000",145
게임,TV대정령,"600,000","634,350,000","7,463"
취미/라이프,이연LEEYEON,"600,000","40,850,000",172
미분류,영기티비,"600,000","95,540,000",225
게임,로이조 TV,"600,000","434,900,000","2,611"
취미/라이프,김나영의 nofilterTV,"600,000","111,930,000",312
게임,JUNE,"590,000","600,180,000","1,301"
TV/방송,NICKY니키,"590,000","185,570,000",738
교육/강의,친절한 대학,"590,000","56,960,000",557
주식/경제/부동산,단희TV,"590,000","65,910,000",855
TV/방송,티키틱 TIKITIK,"590,000","122,960,000",143
취미/라이프,딩가의 회전목마 DINGA,"590,000","69,630,000",171
미분류,깨방정,"590,000","177,110,000",370
게임,서넹,"590,000","217,560,000","2,822"
미분류,A24,"590,000","624,370,000",534
뉴스/정치/사회,팩트TV NEWS,"590,000","516,940,000","19,752"
패션/미용,leeanfilm리안,"590,000","49,270,000",184
TV/방송,drighk fancam 2015,"580,000","430,860,000","5,281"
애완/반려동물,김메주와 고양이들,"580,000","194,800,000",972
미분류,양세브라더스,"580,000","24,570,000",16
TV/방송,KBS 같이삽시다,"580,000","279,900,000","3,028"
TV/방송,Olive,"580,000","642,610,000","17,128"
TV/방송,MAXIM KOREA,"580,000","307,710,000","2,037"
해외,Ashley Mariee,"580,000","56,220,000","2,046"
BJ/인물/연예인,최홍철,"580,000","162,630,000",318
음식/요리/레시피,더스쿱The SCOOP,"570,000","85,340,000",406
게임,형독방송,"570,000","517,420,000","1,840"
미분류,McDonald's,"570,000","123,850,000",204
음악/댄스/가수,God DongMin갓동민,"570,000","93,770,000",997
TV/방송,STATV,"570,000","190,800,000","7,481"
TV/방송,공돌이 용달,"570,000","168,480,000",200
키즈/어린이,Troom Troom Kr,"570,000","383,420,000","1,895"
게임,진호,"570,000","309,420,000","2,447"
취미/라이프,ConCorea TV,"570,000","14,210,000",625
BJ/인물/연예인,엣지님,"570,000","199,200,000","1,644"
음악/댄스/가수,SUGA - Topic,"570,000","20,000",1
TV/방송,은하캠핑,"570,000","111,180,000",201
TV/방송,KBS Entertain: 깔깔티비,"570,000","802,140,000","4,905"
뉴스/정치/사회,고성국TV,"570,000","21,670,000",301
미분류,코믹마트,"570,000","188,610,000",232
음악/댄스/가수,May J Lee 메이제이 리,"570,000","28,700,000",40
음식/요리/레시피,SINCOOK - 신쿡,"570,000","103,980,000",483
BJ/인물/연예인,덕자전성시대,"570,000","62,050,000",143
미분류,[에일리 OFFICIAL] aileemusic,"570,000","85,070,000",116
미분류,김흥미,"570,000","226,170,000",470
애완/반려동물,Arirang은 고양이들내가 주인,"570,000","167,140,000",385
뉴스/정치/사회,쓸모왕,"560,000","420,910,000",668
음악/댄스/가수,INFINITE,"560,000","39,530,000",159
TV/방송,쌈바홍 ssambahong,"560,000","41,130,000",197
음식/요리/레시피,정육왕 MeatCreator,"560,000","129,660,000",422
음식/요리/레시피,[Flower pig]꽃돼지,"560,000","194,320,000","1,201"
키즈/어린이,Clevr TV [클레버티비],"560,000","536,180,000","1,777"
TV/방송,석준이가해,"560,000","126,830,000",217
패션/미용,다영 DAYEONG,"560,000","75,990,000",356
키즈/어린이,캐리TV 주니어,"560,000","625,130,000","1,424"
미분류,근황올림픽,"560,000","259,930,000",241
취미/라이프,TAU,"560,000","346,320,000",103
음악/댄스/가수,TVXQ!,"560,000","33,160,000",70
음악/댄스/가수,온스테이지ONSTAGE,"550,000","232,740,000","2,333"
음악/댄스/가수,Trouble Maker (Official YouTube Channel),"550,000","185,950,000",9
패션/미용,아옳이,"550,000","94,660,000",153
음악/댄스/가수,Reynah,"550,000","145,690,000",245
미분류,드립팩토리 [Dlib Factory],"550,000","183,960,000",177
미분류,일주어터,"550,000","94,180,000",150
미분류,규티비 KYUHYUN,"550,000","21,590,000",74
미분류,BODA 보다,"550,000","257,870,000",738
미분류,복지마블TV [Welfare Marble],"550,000","53,040,000",245
미분류,에버랜드 - EVERLAND,"550,000","170,230,000","1,989"
미분류,또모TOWMOO,"550,000","134,210,000",193
영화/만화/애니,뭅뭅,"550,000","261,080,000","3,049"
뉴스/정치/사회,국방TV,"550,000","507,280,000","11,191"
미분류,Super K-슈퍼개미김정환,"550,000","50,970,000",455
미분류,시니어전성시대,"550,000","66,490,000",150
패션/미용,LeoJ Makeup,"550,000","77,160,000",256
음악/댄스/가수,달마발 Darlim&Hamabal,"550,000","137,810,000",158
교육/강의,Conversational Korean,"550,000","15,410,000",335
취미/라이프,샬이 Shal.E,"550,000","21,700,000",61
BJ/인물/연예인,카페노예 jun,"550,000","38,330,000",76
교육/강의,수린 suzlnne,"550,000","42,490,000",129
BJ/인물/연예인,sojoong쏘야쭝아,"550,000","137,180,000",222
미분류,free지아,"550,000","86,500,000",192
음악/댄스/가수,Flow Music,"550,000","114,980,000",492
음악/댄스/가수,Mellowbeat Seeker,"550,000","8,260,000",131
TV/방송,J.Y. Park,"550,000","88,690,000",90
패션/미용,DAISY 데이지,"540,000","43,680,000",134
패션/미용,디렉터 짱구대디,"540,000","170,270,000","1,735"
영화/만화/애니,소개해주는 남자,"540,000","164,050,000",225
미분류,Melon 멜론,"540,000","68,090,000",230
뉴스/정치/사회,서울의소리 Voice of Seoul,"540,000","246,690,000","7,622"
게임,꿀탱탱,"540,000","339,080,000","2,516"
TV/방송,레이디액션,"540,000","271,850,000",359
미분류,조여사전성시대,"540,000","103,320,000",434
게임,자몽티비,"540,000","506,720,000","2,069"
BJ/인물/연예인,풍자테레비,"540,000","240,780,000","1,651"
취미/라이프,희철리즘Heechulism,"540,000","137,150,000",253
교육/강의,동심파괴,"540,000","147,350,000",370
