카테고리,채널명,구독자수,조회수,영상수
음악/댄스/가수,CHEN,"1,910,000","30,880,000",10
키즈/어린이,뉴욕이네 (뉴욕이랑 놀자),"1,910,000","859,400,000",708
음식/요리/레시피,도남이먹방Donam,"1,910,000","611,450,000",796
미분류,GoogleDoodles,"1,890,000","409,430,000",104
교육/강의,The World of Dave데이브,"1,890,000","450,040,000",629
애완/반려동물,밀키복이탄이MilkyBokiTan,"1,880,000","549,300,000",359
IT/기술/컴퓨터,ITSub잇섭,"1,880,000","568,110,000",789
TV/방송,tvN D STUDIO,"1,860,000","536,380,000",980
TV/방송,아는형님 Knowingbros,"1,800,000","728,530,000","1,399"
뉴스/정치/사회,SBS 뉴스,"1,800,000","2,727,400,000","112,235"
음악/댄스/가수,셀프어쿠스틱selfacoustic,"1,800,000","415,000,000",150
음악/댄스/가수,ARIRANG K-POP,"1,790,000","714,550,000","27,735"
미분류,CL Official Channel,"1,780,000","122,670,000",43
뉴스/정치/사회,채널A,"1,780,000","2,041,880,000","21,821"
음식/요리/레시피,ASMR Suna 꿀꿀선아,"1,780,000","421,740,000",321
키즈/어린이,Dollightful,"1,770,000","269,830,000",147
음식/요리/레시피,FoodieBoy 푸디보이,"1,770,000","625,410,000","1,118"
게임,악동 김블루,"1,760,000","971,520,000",759
키즈/어린이,꾹TV(Kkuk TV),"1,760,000","1,023,010,000","1,374"
취미/라이프,Imaginative Guy,"1,750,000","555,700,000",109
스포츠/운동,Allblanc TV,"1,740,000","189,320,000",331
음악/댄스/가수,A-YEON,"1,740,000","204,010,000",58
음악/댄스/가수,DAY6,"1,730,000","248,270,000",330
음악/댄스/가수,BTOB 비투비 (Official YouTube Channel),"1,730,000","399,550,000",508
뉴스/정치/사회,JTBC News,"1,720,000","2,443,150,000","117,293"
음식/요리/레시피,입짧은햇님,"1,720,000","667,770,000","2,448"
IT/기술/컴퓨터,밝은 면 Bright Side Korea,"1,720,000","446,290,000","3,229"
음악/댄스/가수,비몽,"1,710,000","897,700,000","4,577"
음악/댄스/가수,MLD ENTERTAINMENT,"1,710,000","675,890,000",587
BJ/인물/연예인,보물섬,"1,710,000","1,094,130,000",438
패션/미용,Wishtrend TV,"1,700,000","143,210,000",817
애완/반려동물,내셔널지오그래픽 - National Geographic Korea,"1,690,000","727,420,000","3,007"
게임,양띵 유튜브,"1,690,000","1,888,770,000","7,257"
음악/댄스/가수,loonatheworld,"1,670,000","588,090,000","1,023"
교육/강의,슈카월드,"1,670,000","244,230,000",907
영화/만화/애니,고몽,"1,670,000","695,770,000",448
패션/미용,조효진 HYOJIN,"1,670,000","159,010,000",298
게임,대도서관TV (buzzbean11),"1,660,000","1,420,750,000","9,333"
TV/방송,dingo freestyle,"1,660,000","930,060,000",932
애완/반려동물,슈앤트리 SHU AND TREE,"1,660,000","354,680,000",351
키즈/어린이,캐릭온 TV,"1,630,000","1,732,560,000",745
음식/요리/레시피,슈기님,"1,630,000","630,690,000","1,415"
영화/만화/애니,짤툰,"1,610,000","818,870,000",400
음식/요리/레시피,HONG SOUND,"1,610,000","373,380,000",996
TV/방송,콬TV,"1,610,000","531,510,000",745
음악/댄스/가수,GOT7,"1,600,000","20,490,000",3
패션/미용,Leesuhyun,"1,600,000","72,520,000",101
BJ/인물/연예인,더블비,"1,600,000","921,450,000",451
음식/요리/레시피,Chihun ASMR 치훈,"1,590,000","272,940,000",404
음악/댄스/가수,DJ SODA OFFICIAL,"1,590,000","220,870,000",154
스포츠/운동,SPOTV,"1,590,000","1,341,440,000","40,166"
게임,뜨뜨뜨뜨,"1,590,000","718,870,000","1,447"
음악/댄스/가수,PENTAGON 펜타곤 (Official YouTube Channel),"1,580,000","217,340,000",367
음식/요리/레시피,최고다윽박EUGBAK,"1,580,000","856,560,000","1,535"
주식/경제/부동산,신사임당,"1,570,000","206,560,000",981
음악/댄스/가수,OfficialLEEHI,"1,570,000","331,110,000",94
키즈/어린이,덕대-DD film,"1,570,000","744,940,000","1,592"
음악/댄스/가수,THE BOYZ,"1,560,000","259,870,000",484
음악/댄스/가수,NU'EST,"1,560,000","228,770,000",614
뉴스/정치/사회,EBSCulture (EBS 교양),"1,550,000","1,167,720,000","41,251"
TV/방송,조재원,"1,540,000","393,130,000",275
미분류,GH'S,"1,530,000","704,630,000",97
뉴스/정치/사회,MBCNEWS,"1,530,000","3,485,590,000","116,448"
음악/댄스/가수,버블디아,"1,530,000","400,900,000","1,192"
음악/댄스/가수,DOJIN도진이,"1,520,000","79,680,000",47
음식/요리/레시피,ETTV 이티티비,"1,520,000","641,220,000","1,023"
키즈/어린이,Edu car toy school,"1,520,000","789,890,000","1,267"
키즈/어린이,유라야놀자(Let's play YURA),"1,520,000","1,588,490,000","1,401"
패션/미용,ssin 씬님,"1,520,000","436,500,000",690
TV/방송,KBS 한국방송,"1,510,000","1,411,270,000","28,122"
TV/방송,문명특급 - MMTG,"1,510,000","313,780,000",230
키즈/어린이,지니키즈 Genikids (인기 동요・동화),"1,510,000","1,182,120,000","1,212"
게임,태경 TV,"1,510,000","2,179,010,000","2,521"
게임,김재원의 즐거운 세상,"1,510,000","1,609,440,000","1,796"
주식/경제/부동산,삼프로TV_경제의신과함께,"1,500,000","408,220,000","5,448"
음악/댄스/가수,Daily Busking,"1,500,000","592,810,000",966
키즈/어린이,브라보키즈_BRAVO KIDS,"1,490,000","1,537,890,000","1,765"
음식/요리/레시피,승우아빠,"1,490,000","419,970,000",589
영화/만화/애니,지무비 : G Movie,"1,490,000","504,540,000",238
TV/방송,MBN Entertainment,"1,480,000","1,484,630,000","36,672"
음식/요리/레시피,[Nareum_TV] 나름TV,"1,470,000","530,240,000",794
BJ/인물/연예인,웃소 Wootso,"1,470,000","1,359,580,000",687
뉴스/정치/사회,진성호방송,"1,460,000","1,712,370,000","7,788"
뉴스/정치/사회,KBS Drama Classic,"1,450,000","1,328,480,000","9,434"
음악/댄스/가수,FNCEnt,"1,450,000","303,350,000","1,427"
음악/댄스/가수,Chuther츄더[문에스더],"1,450,000","199,750,000",142
음식/요리/레시피,ARIKITCHEN (아리키친),"1,450,000","345,560,000",446
취미/라이프,피식대학Psick Univ,"1,440,000","359,880,000",375
뉴스/정치/사회,디글 클래식 :Diggle Classic,"1,440,000","3,336,060,000","22,384"
게임,T1 Faker,"1,440,000","265,490,000","1,199"
TV/방송,"안구정화TV, Your Korean Friend","1,440,000","116,450,000",158
BJ/인물/연예인,혜리,"1,430,000","70,610,000",66
음악/댄스/가수,Lemoring,"1,430,000","784,330,000",487
음식/요리/레시피,칩chip,"1,430,000","190,110,000",36
음악/댄스/가수,시즌비시즌 Season B Season,"1,420,000","142,930,000",56
뉴스/정치/사회,신의한수,"1,420,000","1,135,370,000","8,400"
BJ/인물/연예인,[상윤쓰]Sangyoon,"1,410,000","276,570,000",147
TV/방송,동네놈들,"1,410,000","302,900,000",268
음악/댄스/가수,K-Tigers TV,"1,410,000","202,850,000",461
음식/요리/레시피,엠브로 MBRO,"1,410,000",0,0
애완/반려동물,[THE SOY]루퐁이네,"1,400,000","408,700,000",318
BJ/인물/연예인,급식왕,"1,400,000","1,558,500,000",634
BJ/인물/연예인,철구형 (CHULTUBE),"1,400,000","1,279,560,000","6,895"
TV/방송,KBS HUMAN: 뭉클티비,"1,390,000","707,540,000","3,422"
TV/방송,MKTV 김미경TV,"1,390,000","259,100,000","1,629"
TV/방송,Solfa,"1,390,000","212,640,000",49
음악/댄스/가수,AOMGOFFICIAL,"1,380,000","288,310,000",338
교육/강의,사물궁이 잡학지식,"1,380,000","220,550,000",280
BJ/인물/연예인,NALU,"1,370,000","102,370,000",153
미분류,식빵언니 김연경Bread Unnie,"1,360,000","69,790,000",53
뉴스/정치/사회,SBS STORY,"1,360,000","1,720,320,000","78,824"
음악/댄스/가수,워너뮤직코리아 (Warner Music Korea),"1,360,000","785,890,000","2,430"
음악/댄스/가수,BEAST 비스트 (Official YouTube Channel),"1,360,000","582,640,000",118
음식/요리/레시피,산적TV 밥굽남,"1,360,000","279,910,000",537
TV/방송,Mera,"1,360,000","1,190,080,000","7,536"
BJ/인물/연예인,JAYKEEOUT,"1,360,000","180,530,000",210
키즈/어린이,티디키즈 by 지니키즈,"1,350,000","875,970,000",392
뉴스/정치/사회,세바시 강연 Sebasi Talk,"1,340,000","280,130,000","1,987"
뉴스/정치/사회,KBS News,"1,330,000","1,868,910,000","177,414"
TV/방송,BLACKHAND,"1,320,000","321,990,000",50
교육/강의,jannahkorea 잔나코리아,"1,320,000","118,240,000",417
BJ/인물/연예인,박막례 할머니 Korea Grandma,"1,320,000","397,960,000",431
BJ/인물/연예인,신세경 sjkuksee,"1,310,000","45,780,000",33
영화/만화/애니,CheezeFilm,"1,310,000","358,750,000",204
음악/댄스/가수,Apink (에이핑크),"1,310,000","351,530,000",625
BJ/인물/연예인,꽈뚜룹,"1,310,000","402,190,000",725
음악/댄스/가수,AOA (에이오에이),"1,300,000","674,930,000",194
키즈/어린이,헬로카봇 - hello carbot official,"1,300,000","1,175,040,000","1,137"
키즈/어린이,뉴욕이랑 컬러,"1,290,000","468,100,000",506
TV/방송,dingo global DGG,"1,290,000","387,830,000",398
애완/반려동물,강형욱의 보듬TV - Dog Trainer Kang,"1,290,000","226,320,000",695
취미/라이프,탱구TV,"1,290,000","46,090,000",27
BJ/인물/연예인,정선호,"1,290,000","472,680,000",424
키즈/어린이,깨비키즈 [KEBIKIDS],"1,280,000","1,405,380,000","1,717"
패션/미용,lamuqe,"1,280,000","117,570,000",271
음악/댄스/가수,GENIE MUSIC,"1,280,000","435,950,000","3,951"
TV/방송,딩고 스토리 / dingo story,"1,280,000","283,770,000",334
취미/라이프,낄낄상회,"1,270,000","322,160,000",230
음악/댄스/가수,선미 SUNMI,"1,270,000","251,480,000",148
TV/방송,디스커버리 서바이벌 - Discovery Survival,"1,270,000","354,430,000",390
교육/강의,체인지그라운드,"1,270,000","233,650,000","3,103"
TV/방송,Beginagain 비긴어게인,"1,260,000","486,790,000",892
음악/댄스/가수,ONEUS,"1,260,000","184,160,000",339
음악/댄스/가수,Prepix Dance Studio,"1,260,000","219,350,000","3,964"
음악/댄스/가수,RealVIXX,"1,260,000","366,690,000",724
