카테고리,채널명,구독자수,조회수,영상수
키즈/어린이,With Kids Playground [위드키즈 놀이터],416만,15억6857만,399
음식/요리/레시피,Cooking tree 쿠킹트리,416만,3억7857만,"1,133"
음식/요리/레시피,[Dorothy]도로시,415만,9억8659만,905
TV/방송,JTBC Drama,412만,42억0979만,"22,560"
애완/반려동물,SBS TV동물농장x애니멀봐,412만,37억4911만,"3,002"
음식/요리/레시피,tzuyang쯔양,411만,5억0727만,236
음악/댄스/가수,NCT,410만,2억7062만,218
BJ/인물/연예인,영국남자 Korean Englishman,410만,13억3518만,432
음식/요리/레시피,까니짱 [ G-NI ],408만,10억3471만,482
키즈/어린이,로미유 스토리[Romiyu Story],408만,10억6557만,433
음악/댄스/가수,NCT DREAM,386만,3억7422만,228
BJ/인물/연예인,허팝Heopop,381만,31억3892만,"1,847"
취미/라이프,JaeYeol ASMR 재열,380만,10억1154만,970
